disease_name,gene_symbol,geneDescription,num_diseases,num_variants,score,sourceScore,num_pmid_assoc,numberChemsIncludedInEvidence,numberChemsIncludedInEvidence.1,num_var_dis,year_initial,year_final,ei,dsi,dpi,pli,numCTs
Generalized hypotonia,NALCN,"sodium leak channel, non-selective",,103,0.75,,15,0,0,1,2013,2023,1.0,0.53,0.87,2.223e-10,0
Generalized hypotonia,MECP2,methyl-CpG binding protein 2,,103,0.7,,16,0,0,1,2002,2023,0.9375,0.41,0.96,,0
Generalized hypotonia,PURA,purine rich element binding protein A,,103,0.7,,13,0,0,2,1993,2025,0.9230769230769232,0.54,0.78,0.99996,0
Generalized hypotonia,EBF3,EBF transcription factor 3,,103,0.7,,11,0,0,2,2017,2025,1.0,0.51,0.87,1.0,0
Generalized hypotonia,CDKL5,cyclin dependent kinase like 5,,103,0.7,,7,0,0,1,2008,2023,1.0,0.49,0.87,,0
Generalized hypotonia,MTM1,myotubularin 1,,103,0.7,,7,0,0,1,2002,2023,1.0,0.55,0.83,,0
"Epilepsy,Generalized",CACNA1A,calcium voltage-gated channel subunit alpha1 A,,35,0.7,,3,0,0,0,2001,2013,1.0,0.44,0.91,1.0,0
Generalized hypotonia,MAGEL2,MAGE family member L2,,103,0.65,,7,0,0,1,2013,2023,1.0,0.45,0.83,,0
Generalized hypotonia,MED13L,mediator complex subunit 13L,,103,0.65,,4,0,0,0,2013,2020,1.0,0.53,0.78,1.0,0
Generalized hypotonia,ASXL3,ASXL transcriptional regulator 3,,103,0.65,,4,0,0,1,2016,2023,1.0,0.53,0.83,1.0,0
