feature,mean_abs_shap
HP:0000684,9.148829682085263e-05
HP:0001642,8.214852345933581e-05
HP:0002098,7.769193135991577e-05
HP:0001371,7.604638389500077e-05
HP:0000411,7.382462209609656e-05
HP:0000405,7.21260442512286e-05
HP:0002092,7.126194057609686e-05
HP:0002705,7.000095781669929e-05
HP:0000268,6.976622341135392e-05
HP:0000768,6.505164156104086e-05
HP:0002019,6.240278526223972e-05
HP:0000527,6.173906847089098e-05
HP:0001558,6.0258721713318405e-05
HP:0002751,5.822076889689955e-05
HP:0000718,5.781611860592361e-05
HP:0000678,5.7776847393737534e-05
HP:0000368,5.7488596486676305e-05
HP:0000939,5.685389082635495e-05
HP:0002857,5.6750176035104446e-05
HP:0002376,5.6049653564054165e-05
HP:0000998,5.5596462954244325e-05
HP:0000212,5.4694707538414103e-05
HP:0001655,5.388831089287331e-05
HP:0000293,5.290549644009836e-05
HP:0001321,5.22900761011194e-05
HP:0000506,5.181775829625569e-05
HP:0002342,5.1696225451727885e-05
HP:0000455,5.0959234517019896e-05
HP:0000938,5.0709731946147564e-05
HP:0200055,4.950253130373783e-05
HP:0002910,4.8803262020401544e-05
HP:0001363,4.816224544234792e-05
HP:0001635,4.781815152411779e-05
HP:0000179,4.737051071933011e-05
HP:0008947,4.732274720245987e-05
HP:0000272,4.689195052513799e-05
HP:0000465,4.687063229430103e-05
HP:0001276,4.685816629352079e-05
HP:0002120,4.590177326626991e-05
HP:0000278,4.586299455077542e-05
HP:0000582,4.479655564612831e-05
HP:0002013,4.47880995700299e-05
HP:0000819,4.448266054162635e-05
HP:0000238,4.4392000190604325e-05
HP:0000294,4.429450502608074e-05
HP:0001260,4.397089070406506e-05
HP:0000954,4.294990145422288e-05
HP:0001347,4.288976205680161e-05
HP:0002069,4.2736611617149476e-05
HP:0001639,4.260292234640088e-05
HP:0000076,4.25244471848469e-05
HP:0000248,4.2329342454969975e-05
HP:0000324,4.177760673865387e-05
HP:0006101,4.1573261649907026e-05
HP:0001903,4.1220105373099374e-05
HP:0000093,4.0307786272720305e-05
HP:0001653,4.014644283847961e-05
HP:0000348,3.995158077446963e-05
HP:0001337,3.942572518051831e-05
HP:0007018,3.926763639060115e-05
HP:0000823,3.9180013574673043e-05
HP:0002353,3.860282152531032e-05
HP:0001357,3.8534650281909484e-05
HP:0000668,3.7946334889191586e-05
HP:0004209,3.788028290929807e-05
HP:0000824,3.774998492811478e-05
HP:0008070,3.7191410048876097e-05
HP:0000958,3.699093159170048e-05
HP:0001882,3.6945618246954336e-05
HP:0000648,3.692750886168028e-05
HP:0100704,3.651031316426555e-05
HP:0000307,3.6480076245756605e-05
HP:0001744,3.636320872762817e-05
HP:0001256,3.6184408901795254e-05
HP:0000483,3.594779553491596e-05
HP:0000322,3.562869570170786e-05
HP:0001328,3.5527545122447e-05
HP:0012745,3.523012301468761e-05
HP:0001288,3.517121752101251e-05
HP:0000960,3.496164065190114e-05
HP:0002315,3.467648344588898e-05
HP:0000574,3.4378842775812816e-05
HP:0000733,3.4359434749156266e-05
HP:0001254,3.4056828251665244e-05
HP:0000716,3.339163626565951e-05
HP:0000826,3.338084850226183e-05
HP:0000505,3.324656014644268e-05
HP:0000327,3.320623585271974e-05
HP:0001634,3.3114605911989014e-05
HP:0000204,3.274394694768376e-05
HP:0000083,3.216432320679513e-05
HP:0001305,3.191520050495406e-05
HP:0000085,3.1607105040269625e-05
HP:0002209,3.1437242416556485e-05
HP:0100543,3.1221762830547324e-05
HP:0001680,3.115329388250935e-05
HP:0000687,3.114163838593789e-05
HP:0000276,3.102301245577576e-05
HP:0000737,3.079122012413837e-05
HP:0000873,3.076098602278388e-05
HP:0002465,3.074423496523575e-05
HP:0000303,3.071443939878482e-05
HP:0001182,3.0485767700873213e-05
HP:0000414,3.035541351130339e-05
HP:0000337,3.025813333343451e-05
HP:0000601,2.9920599266489515e-05
HP:0001824,2.9876059940597685e-05
HP:0000670,2.9870904205851053e-05
HP:0002162,2.9855355129557612e-05
HP:0000160,2.9838928545962164e-05
HP:0002033,2.983439395126147e-05
HP:0000054,2.964345905461717e-05
HP:0001265,2.9609532083097286e-05
HP:0001873,2.9559917028191877e-05
HP:0011220,2.9331773667309512e-05
HP:0000431,2.9170011524457993e-05
HP:0001537,2.893814570429955e-05
HP:0003593,2.8750323573939213e-05
HP:0000520,2.8715354451279737e-05
HP:0002829,2.8630630463579196e-05
HP:0001763,2.8614500516310077e-05
HP:0000010,2.8566619816272967e-05
HP:0002540,2.8415890228885785e-05
HP:0001388,2.8270832566521976e-05
HP:0000453,2.825106638729613e-05
HP:0001511,2.8191997679643376e-05
HP:0000691,2.8131357325760617e-05
HP:0002750,2.8115882054915315e-05
HP:0000007,2.8113295798604313e-05
HP:0001274,2.801194295042162e-05
HP:0002079,2.7978651256986936e-05
HP:0002167,2.762933301375808e-05
HP:0000568,2.7560497519692406e-05
HP:0001156,2.7496668614158765e-05
HP:0000358,2.7412541253544572e-05
HP:0000739,2.71299698350423e-05
HP:0030680,2.703593259451619e-05
HP:0001945,2.6869005058338788e-05
HP:0000457,2.650163993656819e-05
HP:0000689,2.639885490833266e-05
HP:0000256,2.6308956859060505e-05
HP:0000729,2.6271733427086614e-05
HP:0000158,2.6172915725509675e-05
HP:0000924,2.606432403895789e-05
HP:0002827,2.5819214267937e-05
HP:0011800,2.579197150553402e-05
HP:0001562,2.569441245707325e-05
HP:0000154,2.5575029189208598e-05
HP:0001773,2.551509793068943e-05
HP:0001007,2.5513453689389e-05
HP:0000365,2.533685461640073e-05
HP:0002240,2.5162673611467977e-05
HP:0001770,2.502953224107657e-05
HP:0030084,2.500544746153666e-05
HP:0002251,2.4985660732294394e-05
HP:0000540,2.4895787605249917e-05
HP:0000565,2.486446123373954e-05
HP:0002714,2.4860221428534856e-05
HP:0001270,2.4857656137172795e-05
HP:0001609,2.48557093630662e-05
HP:0001518,2.465555421212031e-05
HP:0000478,2.463561053821617e-05
HP:0000407,2.4612009826466956e-05
HP:0009830,2.4509162224854313e-05
HP:0000280,2.4456422002900863e-05
HP:0000821,2.4242419253465362e-05
HP:0002119,2.4186566088871232e-05
HP:0002024,2.417700272611369e-05
HP:0001636,2.4160529574691427e-05
HP:0001251,2.4109548304390995e-05
HP:0002015,2.4103334033068715e-05
HP:0008736,2.4053426722168707e-05
HP:0012385,2.366691991521648e-05
HP:0000618,2.3632414970080003e-05
HP:0000023,2.3513713623211115e-05
HP:0000708,2.3354290965838995e-05
HP:0002205,2.3285229618365678e-05
HP:0000047,2.3259461380193574e-05
HP:0000343,2.2928995632172472e-05
HP:0001324,2.260024380730147e-05
HP:0001290,2.233879250066961e-05
HP:0003577,2.227111199435307e-05
HP:0000581,2.2173982684225523e-05
HP:0011471,2.204370046395768e-05
HP:0011968,2.182511168366041e-05
HP:0001257,2.1726714478326276e-05
HP:0001999,2.1558014680801577e-05
HP:0010864,2.143862530496836e-05
HP:0002020,2.1365806840633675e-05
HP:0000463,2.1177748049299124e-05
HP:0000508,2.1116826069168265e-05
HP:0003196,2.1065133214449992e-05
HP:0000664,2.0956088510049114e-05
HP:0000193,2.0858721448860877e-05
HP:0002871,2.084463120907027e-05
HP:0000470,2.0829246918437004e-05
HP:0001561,2.0683843710944407e-05
HP:0002553,2.067444314753919e-05
HP:0000319,2.0600723429398508e-05
HP:0002664,2.0306495420865205e-05
HP:0009778,2.00923792768686e-05
HP:0002719,2.0083241164062364e-05
HP:0008897,1.9836424031521932e-05
HP:0000426,1.9727348338016132e-05
HP:0000822,1.966871403098707e-05
HP:0001199,1.9612139232687453e-05
HP:0001344,1.9603816040228933e-05
HP:0001643,1.9461966459897943e-05
HP:0000089,1.9393775010473863e-05
HP:0000175,1.93415354888949e-05
HP:0001629,1.933804960388821e-05
HP:0001510,1.927797736302674e-05
HP:0000341,1.9200034269247378e-05
HP:0008551,1.916800561312186e-05
HP:0001053,1.9078663569086993e-05
HP:0000119,1.900354474567981e-05
HP:0002023,1.897371723624276e-05
HP:0000767,1.892134312870727e-05
HP:0001385,1.8900959625994535e-05
HP:0004322,1.8874844883071686e-05
HP:0000639,1.8624242891669197e-05
HP:0002808,1.8545947172933984e-05
HP:0000501,1.8497839335900952e-05
HP:0008872,1.84045479131936e-05
HP:0000164,1.836584881522476e-05
HP:0000545,1.8246748181709686e-05
HP:0001369,1.8088956882417425e-05
HP:0002007,1.8007527424586815e-05
HP:0100716,1.7966608278848813e-05
HP:0001508,1.777515270631194e-05
HP:0001252,1.745213709196645e-05
HP:0001631,1.7250292169894915e-05
HP:0000490,1.7215408173264655e-05
HP:0001647,1.7201046970972315e-05
HP:0001249,1.717214866240992e-05
HP:0000400,1.6999244215795387e-05
HP:0000750,1.686600138297449e-05
HP:0005280,1.6681404184813797e-05
HP:0000612,1.6603473183900567e-05
HP:0001762,1.6599914644370833e-05
HP:0000347,1.6573944314220405e-05
HP:0000389,1.6539097159652155e-05
HP:0000316,1.650142134563983e-05
HP:0000494,1.63109090837478e-05
HP:0000252,1.6051068833357413e-05
HP:0000218,1.5981321068276595e-05
HP:0002360,1.5795777568956922e-05
HP:0001627,1.5791483981103422e-05
HP:0001263,1.5389088084546128e-05
HP:0000126,1.5377424534638775e-05
HP:0000006,1.5265776922957592e-05
HP:0007957,1.524448792855422e-05
HP:0002650,1.5217137004385952e-05
HP:0000486,1.5053333586183182e-05
HP:0006528,1.4775689281403364e-05
HP:0001250,1.463881467093013e-05
HP:0000219,1.4525335649925479e-05
HP:0001671,1.4368022909405047e-05
HP:0000369,1.4020791740749335e-05
HP:0000286,1.3952624047800874e-05
HP:0001387,1.3803108540142636e-05
HP:0000028,1.3632266333642424e-05
HP:0000717,1.3607295868973419e-05
HP:0000518,1.3536963736580516e-05
HP:0000504,1.337629171174429e-05
HP:0000044,1.3372789399984108e-05
HP:0002575,1.3236248407719555e-05
HP:0000135,1.2984031215761844e-05
HP:0009062,1.2660189646132344e-05
HP:0005968,1.2442938490285988e-05
HP:0001644,1.230096393764938e-05
HP:0001513,1.2115257725026909e-05
HP:0002863,1.1894080227213202e-05
HP:0000818,1.1266231423693936e-05
HP:0012378,1.0943083722560321e-05
HP:0003198,1.0666161027602206e-05
HP:0006824,1.0471951641707851e-05
HP:0011787,9.5756946917554e-06
HP:0000871,9.232543937846447e-06
HP:0011951,8.250687057431229e-06
HP:0002363,7.615918963863532e-06
HP:0012718,6.884701671675621e-06
HP:0011442,5.880360648362295e-06
HP:0000161,5.376559347063575e-06
HP:0040064,5.295464698479035e-06
HP:0006979,4.499738524094166e-06
HP:0012285,4.224261751012403e-06
HP:0045005,4.204434831945915e-06
HP:0002270,4.0887107316991185e-06
HP:0007301,4.073314062241695e-06
HP:0002451,3.950978466515888e-06
HP:0006315,3.2513793494604686e-06
HP:0000741,3.124186892306941e-06
HP:0002793,2.7264657379251275e-06
HP:0012806,2.4444441177720384e-06
HP:0031860,2.217237128071958e-06
HP:0010654,2.1420439318312135e-06
HP:0009932,1.2779488101476684e-06
HP:0040327,9.806225077558632e-07
HP:0009914,2.7344275848058436e-07
